Wood Factory,إدارة معمل الخشب والألمنيوم
Factory Order,أمر تشغيل المعمل
Factory Orders,أوامر تشغيل المعمل
Factory Order Stage,مرحلة أمر التشغيل
Factory Order Stages,مراحل أمر التشغيل
Factory Order Event,حدث أمر التشغيل
Factory Order Events,سجل أحداث أمر التشغيل
Cutting Order,أمر القص
Cutting Orders,أوامر القص
Cutting Order Part,قطعة أمر القص
Cutting Order Parts,قطع أمر القص
Board Layout,مخطط اللوح
Board Layouts,مخططات الألواح
Board Layout Placement,موضع القطعة على اللوح
Board Layout Placements,مواضع القطع على اللوح
Factory Piece,قطعة المعمل
Factory Pieces,قطع المعمل
Piece Exception,استثناء قطعة
Piece Exceptions,استثناءات القطع
Board Remnant,فضلة لوح
Board Remnants,فضلات الألواح
Factory Workstation,محطة عمل المعمل
Factory Workstations,محطات عمل المعمل
Factory Alert Log,سجل تنبيهات المعمل
Factory Alert Settings,إعدادات تنبيهات المعمل
Factory Capacity Settings,إعدادات الطاقة الإنتاجية
Factory Accounting Settings,إعدادات محاسبة المعمل
Factory Worker Cost Rate,معدل تكلفة عامل المعمل
Factory Worker Cost Rates,معدلات تكلفة عمال المعمل
Factory Cost Ledger,سجل تكاليف المعمل
Factory Piece Stage Cost,تكلفة مرحلة القطعة
Factory Piece Stage Costs,تكاليف مراحل القطع
Factory Dashboard,لوحة متابعة المعمل
Factory Control Center,مركز تحكم المعمل
Factory Production Schedule,جدول إنتاج المعمل
Factory Capacity Planning,تخطيط الطاقة الإنتاجية للمعمل
Factory Worker,شاشة عامل المعمل
Factory Scan,المسح في المعمل
Factory Reports,تقارير المعمل
Factory Performance,أداء المعمل
Factory Issue Analysis,تحليل مشكلات المعمل
Factory Order Timeline,التسلسل الزمني لأمر التشغيل
Factory Demo Data,بيانات المعمل التجريبية
Factory Order Profitability,ربحية أوامر التشغيل
Factory Waste Analysis,تحليل هدر المعمل
Factory Production Performance,أداء إنتاج المعمل
Factory Manager,مدير المعمل
Factory Supervisor,مشرف المعمل
Factory Planner,مخطط الإنتاج
Factory Accountant,محاسب المعمل
Factory Cutting Operator,عامل القص
Factory Edge Banding Operator,عامل القشاط
Factory Drilling Operator,عامل التخريم
Factory Assembly Operator,عامل التجميع
Factory Quality Inspector,مسؤول فحص الجودة
Factory Packing Operator,عامل التعبئة
Factory Delivery User,مسؤول التسليم
Factory Management,إدارة المعمل
Factory Cutting Worker,عامل القص
Factory Edge Banding Worker,عامل القشاط
Factory Drilling Worker,عامل التخريم
Factory Assembly Worker,عامل التجميع
Factory Packing Worker,عامل التعبئة
Cutting,القص
Edge Banding,القشاط
Drilling,التخريم
Assembly,التجميع
Quality Inspection,فحص الجودة
Packing,التعبئة
Draft,مسودة
Confirmed,مؤكد
Ready for Production,جاهز للإنتاج
In Production,قيد الإنتاج
Rework,إعادة العمل
Ready for Delivery,جاهز للتسليم
Delivered,تم التسليم
Closed,مغلق
Cancelled,ملغى
Pending,بانتظار البدء
Ready,جاهز
In Progress,قيد التنفيذ
Blocked,متوقف
Paused,متوقف مؤقتًا
Completed,مكتمل
Skipped,متجاوز
Open,مفتوح
Replacement Required,بحاجة إلى تعويض
Replacement In Progress,التعويض قيد التنفيذ
Resolved,تم الحل
Available,متاحة
Reserved,محجوزة
Consumed,مستهلكة
Scrapped,متلفة
Active,فعالة
Maintenance,صيانة
Out of Service,خارج الخدمة
Not Started,لم يبدأ
Partial,جزئي
Posted,مرحّل
Reversed,معكوس
Complete,مكتمل
Not Posted,غير مرحّل
No Forecast,لا يوجد توقع
On Track,ضمن الخطة
At Risk,معرّض للتأخير
Late,متأخر
Low,منخفض
Medium,متوسط
High,مرتفع
Critical,حرج
Urgent,عاجل
Normal,عادي
Customer Order,طلب عميل
Internal Replacement,تعويض داخلي
Customer Material Consumption,استهلاك مواد طلب العميل
Internal Replacement Material,مواد تعويض داخلي
Remnant Material Consumption,استهلاك فضلة لوح
Remnant Recovery,قيمة فضلة مستردة
Waste Cost,تكلفة الهدر
Labor Cost,تكلفة العمالة
Machine Cost,تكلفة الماكينة
Customer,العميل
Sales Order,طلب البيع
Company,الشركة
Currency,العملة
Order Date,تاريخ الطلب
Expected Delivery Date,تاريخ التسليم المتوقع
Project,المشروع
Cost Center,مركز التكلفة
Rework Cost Center,مركز تكلفة إعادة العمل
Status,الحالة
Priority,الأولوية
Priority Override,تجاوز الأولوية
Priority Reason,سبب تغيير الأولوية
Current Stage,المرحلة الحالية
Current Responsible,المسؤول الحالي
Progress Percent,نسبة الإنجاز
Delay Days,أيام التأخير
Notes,ملاحظات
Description,الوصف
Reference,المرجع
Reference DocType,نوع المستند المرجعي
Reference Name,اسم المرجع
Created By,أنشأه
Modified By,عدّله
Owner,المالك
Board Item,صنف اللوح
Board Warehouse,مستودع الألواح
Edge Band Warehouse,مستودع القشاط
Board Width MM,عرض اللوح بالملم
Board Height MM,طول اللوح بالملم
Board Length MM,طول اللوح بالملم
Board Thickness MM,سماكة اللوح بالملم
Board Color,لون اللوح
Saw Kerf MM,سماكة شفرة القص بالملم
Kerf MM,سماكة القص بالملم
Trim Margin MM,هامش تشذيب اللوح بالملم
Algorithm,خوارزمية الترتيب
Board Count,عدد الألواح
Total Boards Used,إجمالي الألواح المستخدمة
Total Board Area M2,إجمالي مساحة الألواح م²
Used Area M2,المساحة المستخدمة م²
Waste Area M2,مساحة الهدر م²
Waste Percent,نسبة الهدر
Total Waste M2,إجمالي الهدر م²
Total Edge Band Length M,إجمالي طول القشاط م
Total Edge Band Cost,إجمالي تكلفة القشاط
Cutting Cost,تكلفة القص
Total Cost,التكلفة الإجمالية
Material Stock Entry,قيد صرف المواد
Stock Entry Value,قيمة قيد المخزون
Customer Billable,قابل للفوترة على العميل
Cost Owner,الجهة المتحملة للتكلفة
Accounting Status,حالة الترحيل المحاسبي
Cost Ledger Entry,قيد سجل التكلفة
Order Type,نوع الأمر
Part Name,اسم القطعة
Piece No,رقم القطعة
Piece UID,المعرّف الفريد للقطعة
Width MM,العرض بالملم
Height MM,الطول بالملم
Width CM,العرض بالسم
Length CM,الطول بالسم
Quantity,الكمية
Allow Rotation,السماح بالتدوير
Rotated,مدوّرة
Grain Direction,اتجاه عروق الخشب
Along Height,باتجاه الطول
Along Width,باتجاه العرض
Any,أي اتجاه
Edge Top,قشاط الحافة العلوية
Edge Right,قشاط الحافة اليمنى
Edge Bottom,قشاط الحافة السفلية
Edge Left,قشاط الحافة اليسرى
Edge Long Right,قشاط الضلع الطويل الأيمن
Edge Long Left,قشاط الضلع الطويل الأيسر
Edge Width Top,قشاط ضلع العرض العلوي
Edge Width Bottom,قشاط ضلع العرض السفلي
Edge Band Item,صنف القشاط
Edge Band Rate Per M,سعر متر القشاط
Edge Meters,أمتار القشاط
Area M2,المساحة م²
Board Number,رقم اللوح
X MM,الموضع س بالملم
Y MM,الموضع ص بالملم
Placed Width MM,عرض القطعة الموضوع بالملم
Placed Height MM,طول القطعة الموضوع بالملم
Stage,المرحلة
Sequence,الترتيب
Responsible,المسؤول
Started At,وقت البدء
Completed At,وقت الإنهاء
Blocked At,وقت التوقف
Blocked Minutes,دقائق التوقف
Block Reason,سبب التوقف
Actual Minutes,الدقائق الفعلية
Estimated Minutes,الدقائق المقدرة
Workstation,محطة العمل
Internal Rework,إعادة عمل داخلية
Labor Hourly Rate,تكلفة العامل بالساعة
Machine Hourly Rate,تكلفة الماكينة بالساعة
Costing Status,حالة احتساب التكلفة
Exception Type,نوع الاستثناء
Reason,السبب
Reported Stage,مرحلة الإبلاغ
Reported By,أبلغ عنه
Replacement Piece,القطعة التعويضية
Suggested Remnant,الفضلة المقترحة
Reserved Remnant,الفضلة المحجوزة
Replacement Cutting Order,أمر القص التعويضي
Resolution Notes,ملاحظات المعالجة
Missing,ناقصة
Damaged,تالفة
Wrong Dimensions,قياسات خاطئة
Other,أخرى
Parent Remnant,الفضلة الأصل
Source Cutting Order,أمر القص المصدر
Source Board Layout,مخطط اللوح المصدر
Warehouse,المستودع
Valuation Rate Per M2,قيمة المتر المربع
Estimated Value,القيمة المقدرة
Residual Scrap Value,قيمة القصاصات المتبقية
Reserved For Piece,محجوزة للقطعة
Reserved At,وقت الحجز
Consumed At,وقت الاستهلاك
Scrapped At,وقت الإتلاف
Workstation Name,اسم محطة العمل
Minutes Per Day,دقائق العمل اليومية
Efficiency Percent,نسبة الكفاءة
Effective Minutes Per Day,الدقائق الفعلية اليومية
Default Labor Hourly Cost,تكلفة العامل الافتراضية بالساعة
